 	CDS_MFE_100_50nt_CDS	CDS_MFE_100_50nt_5p	CDS_MFE_100_50nt_mid	CDS_MFE_100_50nt_3p
MSMEG_0001	-42.2	-43.0125	-44.225	-38.9571
MSMEG_0002	-37.9059	-39.85	-36.7	-37.02
MSMEG_0003	-41.9261	-42.35	-42.725	-40.5286
MSMEG_0004	-44.1455	-47.825	-41.475	-42.8
MSMEG_0005	-33.815	-36.5571	-32.9214	-31.6583
MSMEG_0006	-36.392	-37.2294	-35.3176	-36.6438
MSMEG_0007	-39.9533	-42.55	-40.4	-35.5
MSMEG_0009	-36.3	-36.3	-36.3	-36.3
MSMEG_0011	-38.0125	-41.3167	-40.88	-31.18
MSMEG_0012	-39.73	-39.2	-37.6429	-42.7833
MSMEG_0014	-33.1474	-32.2286	-33.4333	-33.9333
MSMEG_0015	-39.725	-40.3333	-38.7333	-40.3
MSMEG_0016	-37.54	-40.45	-44.5	-17.8
MSMEG_0017	-40.6412	-41.9083	-42.5167	-36.87
MSMEG_0018	-41.1714	-41.9833	-39.4667	-42.1455
MSMEG_0019	-39.9002	-40.2563	-39.438	-40.004
MSMEG_0020	-34.4944	-34.7	-34.1167	-34.66
MSMEG_0021	-32.5625	-33.4667	-32.8667	-30.75
MSMEG_0022	-36.8885	-31.1	-40.5667	-39.2625
MSMEG_0023	-42.275	-42.2667	-45.6667	-37.2
MSMEG_0024	-33.23	-30.85	-35.675	-33.1
MSMEG_0025	-31.325	-32.7333	-34.6667	-24.2
MSMEG_0026	-28.84	-33.8	-26.85	-22.9
MSMEG_0027	-38.8071	-40.38	-38.14	-37.675
MSMEG_0028	-40.5486	-39.5	-41.7077	-40.4182
MSMEG_0029	-40.3846	-42.84	-39.925	-37.775
MSMEG_0030	-41.608	-41.8667	-44.3875	-38.5375
MSMEG_0031	-39.1655	-43.14	-38.19	-35.8333
MSMEG_0032	-37.5464	-40.74	-34.0444	-37.5
MSMEG_0033	-40.6867	-41.3091	-41.35	-39.1889
MSMEG_0034	-36.9667	-43.35	-38.1	-22.5
MSMEG_0035	-41.1045	-38.4	-42.525	-42.8167
MSMEG_0036	-28.3	-38.6	-18.0	-18.0
MSMEG_0039	-38.2286	-36.6333	-37.9	-40.95
MSMEG_0040	-25.75	-32.6667	-25.5	-5.5
MSMEG_0041	-44.9889	-44.525	-46.0667	-44.3
MSMEG_0042	-37.9	-40.1	-39.45	-32.9
MSMEG_0043	-36.46	-36.7667	-38.54	-33.4
MSMEG_0044	-40.6732	-37.5071	-43.2714	-41.2846
MSMEG_0045	-44.7449	-44.6176	-47.0125	-42.6125
MSMEG_0046	-38.0739	-39.2375	-37.9125	-36.9286
MSMEG_0047	-38.9	-41.0857	-39.0833	-35.62
MSMEG_0048	-37.41	-37.95	-43.9667	-30.1333
MSMEG_0049	-38.5789	-37.9571	-38.3667	-39.5167
MSMEG_0050	-34.48	-39.15	-35.25	-23.6
MSMEG_0051	-43.26	-41.8	-50.9	-30.9
MSMEG_0052	-40.9733	-41.2167	-40.28	-41.475
