 	CDS_MFE_20_10nt_CDS	CDS_MFE_20_10nt_5p	CDS_MFE_20_10nt_mid	CDS_MFE_20_10nt_3p
MSMEG_0001	-3.995	-3.785	-4.61	-3.5795
MSMEG_0002	-3.2034	-3.12	-3.29	-3.2
MSMEG_0003	-3.6504	-3.7154	-3.6737	-3.5605
MSMEG_0004	-4.2483	-4.78	-4.1053	-3.8316
MSMEG_0005	-2.4752	-2.6338	-2.2691	-2.5242
MSMEG_0006	-2.8036	-2.8424	-2.6548	-2.9145
MSMEG_0007	-3.4167	-3.6769	-3.3815	-3.184
MSMEG_0009	-3.1	-1.7667	-4.075	-3.15
MSMEG_0011	-3.2175	-2.9926	-3.6778	-2.9731
MSMEG_0012	-3.6369	-3.3486	-3.3853	-4.1853
MSMEG_0014	-2.349	-2.2273	-2.5406	-2.2806
MSMEG_0015	-3.3169	-3.2036	-3.0321	-3.7296
MSMEG_0016	-3.1538	-1.6667	-5.3333	-2.375
MSMEG_0017	-3.5715	-3.3017	-4.0466	-3.3589
MSMEG_0018	-3.4466	-3.6237	-2.9661	-3.7552
MSMEG_0019	-3.4526	-3.6256	-3.252	-3.4799
MSMEG_0020	-2.8319	-3.175	-2.6531	-2.6567
MSMEG_0021	-2.5805	-1.7143	-2.5643	-3.5308
MSMEG_0022	-3.1992	-2.5727	-3.7156	-3.3
MSMEG_0023	-3.5805	-2.8714	-3.5143	-4.4154
MSMEG_0024	-2.8423	-2.4278	-3.1889	-2.9188
MSMEG_0025	-2.635	-2.9571	-2.3	-2.65
MSMEG_0026	-2.3036	-2.6	-1.9111	-2.3667
MSMEG_0027	-3.3581	-3.472	-3.636	-2.95
MSMEG_0028	-3.2754	-2.9079	-3.5603	-3.3607
MSMEG_0029	-3.1657	-3.3261	-2.6045	-3.5591
MSMEG_0030	-3.5792	-3.7762	-3.8714	-3.078
MSMEG_0031	-3.2762	-3.922	-3.2816	-2.5979
MSMEG_0032	-2.9227	-3.1271	-2.5532	-3.087
MSMEG_0033	-3.2895	-3.475	-3.349	-3.036
MSMEG_0034	-3.3196	-4.1375	-3.9875	-1.6214
MSMEG_0035	-4.086	-3.9949	-4.7974	-3.4514
MSMEG_0036	-2.42	-0.775	-5.275	0.0
MSMEG_0039	-3.3189	-3.5538	-3.025	-3.3583
MSMEG_0040	-1.7067	-1.9545	-2.01	-1.0667
MSMEG_0041	-4.4021	-4.5813	-5.1062	-3.46
MSMEG_0042	-3.3232	-3.6842	-3.5316	-2.7222
MSMEG_0043	-2.9	-2.7519	-3.2923	-2.652
MSMEG_0044	-3.6034	-2.57	-4.3913	-3.8676
MSMEG_0045	-4.0033	-3.8831	-4.3195	-3.8062
MSMEG_0046	-3.1739	-3.3	-2.5359	-3.7135
MSMEG_0047	-3.4011	-4.3219	-2.8677	-2.97
